n,k,requested,mapping,resolved,timing,timing_boundary,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,median_us,p10_us,p90_us,effective_gbps,effective_tflops,correct,speedup_vs_old
512,3584,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,69,67264512,67280896,30,1,,63.620999455451965,62.78809756040573,76.42099931836128,15.58026451146952,0.05768560744742434,True,1.0
512,3584,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,69,67264512,67280896,30,1619,61.8017578125,40.020818398129876,39.44980204289456,46.800350686368425,24.76790929508626,0.09170267243139374,True,1.0
512,3584,auto,auto,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,69,67264512,67280896,30,1,,24.654999375343323,22.788899950683117,27.669000066816807,40.20409755075068,0.14885484051848186,True,2.58045025622987
512,3584,auto,auto,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,69,67264512,67280896,30,6634,15.076040029525757,14.812771369076149,14.750801111726757,14.92876277690125,66.91739008875432,0.24776025421290854,True,2.7017779050906876
512,3584,selected,small32x32,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,69,67264512,67280896,30,1,,24.68049991875887,23.851999454200268,31.7120011895895,40.162557616857505,0.14870103977150545,True,2.5777840669708496
512,3584,selected,small32x32,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,69,67264512,67280896,30,6500,15.38633942604065,14.855794466458834,14.749540475698618,14.939496201735277,66.72359409912322,0.24704272856534878,True,2.6939534259502724
1024,3072,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,41,68517888,68534272,30,1,,47.660499811172485,42.395998910069466,49.99900050461292,35.407769676901445,0.13200566559155488,True,1.0
1024,3072,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,41,68517888,68534272,30,3303,30.27906894683838,31.251083313967655,31.152646107779034,31.3240455491161,53.99979204067302,0.2013196130448392,True,1.0
1024,3072,auto,auto,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,41,68517888,68534272,30,1,,23.819999769330025,20.692099444568157,31.746000051498413,70.84601244089203,0.2641249395854615,True,2.000860632775439
1024,3072,auto,auto,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,41,68517888,68534272,30,6693,14.941829442977905,14.99346099447709,14.890519453772832,15.094535140273072,112.55253210860505,0.4196133235893625,True,2.0843141770588614
1024,3072,selected,small32x32,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,41,68517888,68534272,30,1,,21.440500393509865,20.35200074315071,29.28390018641949,78.70861076128752,0.29343792749839237,True,2.2229191920165974
1024,3072,selected,small32x32,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,41,68517888,68534272,30,6593,15.168639421463013,14.928699425712225,14.881630817530786,14.975552679681279,113.04079155706422,0.42143363065934625,True,2.0933560535181526
1024,4096,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,31,69074944,69095424,30,1,,62.98049911856651,59.223998710513115,76.128900796175,35.70476626053106,0.1331937364327279,True,1.0
1024,4096,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,31,69074944,69095424,30,1777,56.294918060302734,40.49583439352006,40.258644803830194,42.88600520196764,55.5292669894913,0.20714742949813875,True,1.0
1024,4096,auto,auto,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,31,69074944,69095424,30,1,,26.30000002682209,12.65199976041913,46.42809852957727,85.50205314473978,0.31895847876216227,True,2.3946957815336796
1024,4096,auto,auto,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,31,69074944,69095424,30,6291,15.897949934005737,14.76674950799319,14.609938224194597,15.222683022613841,152.28158362019917,0.5680741042881019,True,2.7423661769030354
1024,4096,selected,small32x32,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,31,69074944,69095424,30,1,,25.139999575912952,21.852000430226326,28.52699980139733,89.44725687881557,0.3336757415078584,True,2.505190937986696
1024,4096,selected,small32x32,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,31,69074944,69095424,30,6752,14.811040163040161,14.739589103590255,14.673712694249447,14.791089550578764,152.56219045158204,0.5691208853275774,True,2.7474194910668253
3072,3072,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,14,70189056,70213632,30,1,,46.00000008940697,36.12089976668358,48.14399890601635,109.52347804799648,0.41031234702859165,True,1.0
3072,3072,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,14,70189056,70213632,30,3073,32.541799545288086,30.330183759714778,30.297911644292274,30.8502197265625,166.1077967714686,0.6222965264414043,True,1.0
3072,3072,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,14,70189056,70213632,30,1,,28.459999710321426,27.579999715089798,36.29690036177635,177.02319224454766,0.6631893250917688,True,1.616303603570467
3072,3072,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,14,70189056,70213632,30,6591,15.172539949417114,14.895397910325158,14.750296920153607,14.979062422583233,338.23064213059496,1.2671274788112044,True,2.0362117173580554
3072,3072,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,14,70189056,70213632,30,1,,21.140499971807003,20.59200033545494,36.37689985334874,238.3141366911279,0.8928061316038353,True,2.1759182682884806
3072,3072,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,14,70189056,70213632,30,6057,16.51136040687561,14.790376735949883,14.680826339230435,14.871553896834241,340.63229692819857,1.2761248977602755,True,2.0506701283675506
3072,8192,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,6,80216064,80261120,30,1,,126.92150473594666,118.3290034532547,134.98589992523193,105.69052130218545,0.39655729030878006,True,1.0
3072,8192,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,6,80216064,80261120,30,827,121.03713989257812,83.2521653088866,82.81173613800824,93.98585253788166,161.12974299502218,0.6045686357016283,True,1.0
3072,8192,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,6,80216064,80261120,30,1,,51.18099972605705,47.909000888466835,52.004000917077065,262.0972640589222,0.983404940688866,True,2.4798559116720207
3072,8192,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,6,80216064,80261120,30,2090,47.86846160888672,30.864368785511363,30.70753982762971,41.648167149301926,434.6241484224719,1.6307363468138427,True,2.697355189326522
3072,8192,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,6,80216064,80261120,30,1,,47.66100086271763,46.70490026473999,56.33690133690835,281.4544335449172,1.0560342227175397,True,2.663005443413376
3072,8192,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,6,80216064,80261120,30,2267,44.11801815032959,30.79407552711544,30.73285661923712,32.762323353434645,435.61625963371023,1.6344588086653529,True,2.7035124089235825
3584,3584,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,10,68239360,68268032,30,1,,50.61999894678593,49.559999257326126,70.35499960184097,135.37353106632375,0.50750913738672,True,1.0
3584,3584,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,10,68239360,68268032,30,2163,46.25174045562744,34.62765958647567,34.03287509278021,35.49436021611694,197.89405584535618,0.7418957072696198,True,1.0
3584,3584,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,10,68239360,68268032,30,1,,30.52049968391657,20.576900616288185,31.2479991465807,224.52476437045783,0.8417330078490803,True,1.6585573457521476
3584,3584,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,10,68239360,68268032,30,5725,17.468160390853882,14.95992935380561,14.856743025467384,15.12302062188694,458.0641952200654,1.7172615854275257,True,2.314694058208694
3584,3584,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,10,68239360,68268032,30,1,,30.619999393820763,28.761000744998455,42.41299852728845,223.79517098824252,0.838997795838767,True,1.6531678624723045
3584,3584,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,10,68239360,68268032,30,5796,17.254559993743896,15.13977393024621,15.011677238511743,15.352302719758576,452.62287479140446,1.6968623255778177,True,2.2871979295078244
3584,18944,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,2,72138752,72228864,30,1,,303.32250893116,297.22299575805664,333.38500559329987,119.21135733519372,0.4476772676004013,True,1.0
3584,18944,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,2,72138752,72228864,30,333,300.54771423339844,183.61249127545514,181.8946826923359,285.7801168172567,196.93370395891858,0.7395498588180865,True,1.0
3584,18944,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,2,72138752,72228864,30,1,,110.58099940419197,109.94900241494179,124.84099715948105,326.9954892325674,1.2279739985317257,True,2.7429893975045903
