n,k,requested,mapping,resolved,timing,timing_boundary,execution_schedule,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,median_us,p10_us,p90_us,effective_gbps,effective_tflops,correct,speedup_vs_old,latency_ratio_vs_auto
512,3584,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,69,67264512,67280896,30,1,,68.90000030398369,65.11599719524384,85.35199910402298,14.386531141171687,0.05326583430780922,True,1.0,3.3511673149988415
512,3584,auto,auto,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,69,67264512,67280896,30,1,,20.560000091791153,15.479999594390392,31.035999208688743,48.21167293650754,0.1785027229384742,True,3.3511673149988415,1.0
512,3584,selected,small32x32,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,69,67264512,67280896,30,1,,20.299999974668026,15.316000208258629,26.143999584019184,48.829162622509315,0.1807889657428444,True,3.394088689160722,0.987354079962921
512,3584,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,69,67264512,67280896,30,1551,64.4985818862915,37.45654565453299,36.6096867967774,38.92828611156235,26.46351879701542,0.09798063157903229,True,1.0,2.537837021959756
512,3584,auto,auto,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,69,67264512,67280896,30,6644,15.052839517593384,14.759239986816993,14.593036199175831,15.151078409634751,67.16009773439364,0.24865887425626737,True,2.537837021959756,1.0
512,3584,selected,small32x32,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,69,67264512,67280896,30,6717,14.889639616012573,14.757461627359916,14.622901347451254,15.097292147169728,67.16819091450552,0.2486888390884171,True,2.53814284599525,0.9998795087376677
1024,3072,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,41,68517888,68534272,30,1,,56.86100013554096,54.39699925482273,66.82089865207672,29.678549374392656,0.11064624232783282,True,1.0,2.837375276434109
1024,3072,auto,auto,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,41,68517888,68534272,30,1,,20.0399998575449,15.672000404447317,27.223999984562397,84.20918223533072,0.31394491241133005,True,2.837375276434109,1.0
1024,3072,selected,small32x32,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,41,68517888,68534272,30,1,,20.0399998575449,15.507999900728464,26.475999876856804,84.20918223533072,0.31394491241133005,True,2.837375276434109,1.0
1024,3072,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,41,68517888,68534272,30,1918,52.14889049530029,30.383978198293104,29.706894095921044,30.651176858370942,55.540850805863286,0.20706491950923786,True,1.0,2.0829542356952726
1024,3072,auto,auto,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,41,68517888,68534272,30,6760,14.793729782104492,14.586963879286184,14.510126283182899,14.6759585092759,115.68905044019212,0.43130675115566774,True,2.0829542356952726,1.0
1024,3072,selected,small32x32,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,41,68517888,68534272,30,6804,14.698729515075684,14.60107616085925,14.50348449832618,14.682978675478982,115.57723426741515,0.4308898830940526,True,2.080941011714102,1.000967458457418
