n,k,requested,mapping,resolved,timing,timing_boundary,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,median_us,p10_us,p90_us,effective_gbps,effective_tflops,correct
512,3584,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,69,67264512,67280896,30,1,,63.260503113269806,62.12899871170521,84.70409810543062,15.669050216454487,0.05801433468571579,True
512,3584,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,69,67264512,67280896,30,1635,61.1729097366333,40.538752844574255,39.88727674571746,47.06803488075187,24.45146755748475,0.09053105343597659,True
512,3584,auto,auto,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,69,67264512,67280896,30,1,,23.640000261366367,19.059999845921997,27.71290000528097,41.930287184468405,0.15524602197224668,True
512,3584,auto,auto,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,69,67264512,67280896,30,6728,14.864829778671265,14.672312243231412,14.589514942146511,14.757134146129049,67.5579951931075,0.2501320813761335,True
512,3584,selected,small32x32,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,69,67264512,67280896,30,1,,21.06000017374754,20.031999796628952,33.531098812818534,47.06704614540439,0.17426476589372866,True
512,3584,selected,small32x32,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,69,67264512,67280896,30,6701,14.924730062484741,14.654673314631795,14.45568684161092,14.844419009435393,67.6393105952294,0.2504331499724196,True
1024,3072,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,41,68517888,68534272,30,1,,48.74050058424473,43.50399971008301,55.31689859926701,34.623197951838385,0.1290806603253004,True
1024,3072,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,41,68517888,68534272,30,2414,41.43876075744629,30.624814732764115,30.517105633499412,32.06032798027538,55.10407212993076,0.2054365407562467,True
1024,3072,auto,auto,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,41,68517888,68534272,30,1,,24.990000762045383,20.88799923658371,28.109099343419082,67.52908957742173,0.25175893590029075,True
1024,3072,auto,auto,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,41,68517888,68534272,30,6703,14.920530319213867,14.736613177299926,14.612673020053403,15.496864301774567,114.51423605251996,0.426926860622987,True
1024,3072,selected,small32x32,small32x32,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,41,68517888,68534272,30,1,,25.384999811649323,24.300100654363632,31.311099790036682,66.47831445819324,0.24784148302860395,True
