n,k,selected,mapping,median_us,p10_us,p90_us,calibration_us,batch_iterations,weight_copies,auto_over_old_speedup
512,3584,small32x32,old,42.9915232348,42.8587680274,44.4905148074,70.090918541,1427,72,7.20425173258
512,3584,small32x32,auto,5.9675209627,5.94152964678,6.11234458677,9.72452998161,10284,72,7.20425173258
512,3584,small32x32,selected,5.96573491656,5.93837582493,6.1236276853,10.6465303898,9393,72,7.20425173258
1024,3072,small32x32,old,37.4263281541,37.39626707,37.4488663204,37.8299999237,2644,72,5.80627075717
1024,3072,small32x32,auto,6.44584617551,6.43489637677,6.45327616136,6.67806982994,14975,72,5.80627075717
1024,3072,small32x32,selected,6.44042551596,6.43257362255,6.45454155441,6.5876698494,15180,72,5.80627075717
1024,4096,small32x32,old,49.1537923357,49.1385350493,49.1726344234,49.239730835,2031,72,6.95100410828
1024,4096,small32x32,auto,7.0714664486,7.0633951609,7.07871683312,7.00887024403,14268,72,6.95100410828
1024,4096,small32x32,selected,7.07316247914,7.06495233325,7.07959473711,7.02368021011,14238,72,6.95100410828
3072,3072,split8,old,37.2813177305,37.1113678973,37.3068506376,37.4404096603,2671,72,2.86838001915
3072,3072,split8,auto,12.9973425702,12.9401125683,13.0224555266,12.8961396217,7755,72,2.86838001915
3072,3072,split8,selected,13.0024719037,12.9038385434,13.0244806478,13.1993401051,7577,72,2.86838001915
3072,8192,split8,old,95.0197048097,94.8236901161,95.1656077597,94.8230457306,1055,72,3.30097305703
3072,8192,split8,auto,28.7853621245,28.7234002167,29.0865123763,28.4071087837,3521,72,3.30097305703
3072,8192,split8,selected,28.8064393986,28.7514818393,29.1006336367,29.0407204628,3444,72,3.30097305703
3584,3584,split8,old,42.9064361467,42.8256557356,43.0011433296,43.1580781937,2318,72,2.77946879334
3584,3584,split8,auto,15.4369195472,15.3678468314,15.5198285812,15.2477800846,6559,72,2.77946879334
3584,3584,split8,selected,15.4446848687,15.378503811,15.530207554,15.1905703545,6584,72,2.77946879334
3584,18944,split8,old,216.638410852,214.055763407,217.118031928,212.981643677,470,72,3.30224892444
3584,18944,split8,auto,65.6032951511,65.4838120019,66.618883084,65.8399486542,1519,72,3.30224892444
3584,18944,split8,selected,66.4535517484,65.5660894286,66.7323302227,65.2483510971,1533,72,3.30224892444
4096,4096,split8,old,49.1199408469,49.0354093451,49.4461773056,49.4809818268,2021,72,2.61253585743
4096,4096,split8,auto,18.8016331747,18.7718121342,18.9094933355,22.3194599152,4481,72,2.61253585743
4096,4096,split8,selected,18.8160085405,18.7907351213,18.9183754629,22.0210599899,4542,72,2.61253585743
4096,12288,split8,old,143.421431719,141.664747464,143.899872343,141.380052567,708,72,2.9759730336
4096,12288,split8,auto,48.1931220814,48.1097214487,48.4862293139,48.1493616104,2077,72,2.9759730336
4096,12288,split8,selected,48.4154811272,48.1594569866,48.5337730554,48.095369339,2080,72,2.9759730336
4096,14336,split8,old,166.370045055,165.821571035,166.699309546,165.525531769,605,72,3.02387754582
4096,14336,split8,auto,55.0187772269,54.8803710096,55.5591267814,55.1510477066,1814,72,3.02387754582
4096,14336,split8,selected,55.2926731267,54.9516186617,55.5770894972,54.92664814,1821,72,3.02387754582
8192,3072,split4,old,38.1007168133,37.9560182594,38.229596285,39.5272707939,2530,72,1.37367622078
8192,3072,split4,auto,27.7363153244,27.6609859204,27.819810229,32.7543902397,3054,72,1.37367622078
8192,3072,split4,selected,27.7721428508,27.6825247747,27.823359394,32.4019789696,3087,72,1.37367622078
12288,4096,split8,old,59.7132860032,59.4782043277,59.9277557103,59.002699852,1695,72,1.17537999626
12288,4096,split8,auto,50.8033880049,50.7475120672,50.9392488444,50.7070016861,1973,72,1.17537999626
12288,4096,split8,selected,50.8122684011,50.7622371497,50.9205436323,50.3189992905,1988,72,1.17537999626
14336,4096,split8,old,62.7014683043,62.6380483087,62.830545776,62.3347520828,1605,72,1.11054082952
14336,4096,split8,auto,56.4602999166,56.4029667799,56.5292698152,56.3782787323,1774,72,1.11054082952
14336,4096,split8,selected,56.4583035203,56.3794711689,56.6056741251,56.3254785538,1776,72,1.11054082952
18944,3584,split8,old,69.517380152,69.4264904295,69.6586735779,69.3232393265,1443,72,1.03068362062
18944,3584,split8,auto,67.4478363303,67.3360408832,67.5192476678,67.0788097382,1491,72,1.03068362062
18944,3584,split8,selected,67.460393362,67.3521388544,67.5572800205,67.0980215073,1491,72,1.03068362062
